gene_num,start,end,gene,locus_tag,old_locus_tag,n_distinct_mutations,description,sig
15,15348,16893,SP_rrnaA16S,SP_RS00080,SP_rrnaA16S,0,NA,FALSE
16,16945,17017,SP_2243,SP_RS00085,SP_2243,0,NA,FALSE
17,17142,20043,SP_rrnaA23S,SP_RS00090,SP_rrnaA23S,0,NA,FALSE
18,20120,20235,rrf,SP_RS00095,SP_rrnaA5S,0,NA,FALSE
19,20241,20314,SP_2244,SP_RS00100,SP_2244,0,NA,FALSE
20,22365,22601,SP_0018,SP_RS00130,SP_0018,0,NA,FALSE
21,22832,24118,SP_0019,SP_RS00135,SP_0019,0,NA,FALSE
22,24319,24786,tadA,SP_RS00140,SP_0020,0,NA,FALSE
23,24819,24916,ffs,SP_RS11525,SP_RS11525,0,NA,FALSE
24,24973,25416,SP_0021,SP_RS00145,SP_0021,0,NA,FALSE
25,25418,25933,SP_0022,SP_RS00150,SP_0022,0,NA,FALSE
26,25947,27308,radA,SP_RS00155,SP_0023,0,NA,FALSE
27,27381,27878,SP_0024,SP_RS00160,SP_0024,0,NA,FALSE
28,27903,28112,SP_0025,SP_RS00165,SP_0025,0,NA,FALSE
29,28094,28717,SP_0026,SP_RS00170,SP_0026,0,NA,FALSE
30,28862,29830,SP_0027,SP_RS00175,SP_0027,0,NA,FALSE
31,31535,34168,polA,SP_RS00195,SP_0032,0,NA,FALSE
32,34253,34690,SP_0033,SP_RS00200,SP_0033,0,NA,FALSE
33,35009,36019,SP_0034,SP_RS00210,SP_0034,0,NA,FALSE
35,37334,38104,recO,SP_RS00220,SP_0036,0,NA,FALSE
36,38101,39093,plsX,SP_RS00225,SP_0037,0,NA,FALSE
37,39099,39332,SP_0038,SP_RS00230,SP_0038,0,NA,FALSE
38,39871,40101,blpU,SP_RS00240,SP_0041,0,NA,FALSE
39,40816,42969,SP_0042,SP_RS00255,SP_0042,0,NA,FALSE
40,42982,44331,SP_0043,SP_RS00260,SP_0043,0,NA,FALSE
41,44501,45208,SP_0044,SP_RS00265,SP_0044,0,NA,FALSE
42,45210,45353,SP_RS11535,SP_RS11535,SP_RS11535,0,NA,FALSE
43,45410,49135,SP_0045,SP_RS00270,SP_0045,0,NA,FALSE
44,49228,50670,SP_0046,SP_RS00275,SP_0046,0,NA,FALSE
45,50889,51911,SP_0047,SP_RS00280,SP_0047,0,NA,FALSE
46,51908,52453,purN,SP_RS00285,SP_0048,0,NA,FALSE
47,52537,53046,SP_0049,SP_RS00290,SP_0049,0,NA,FALSE
48,53071,54618,purH,SP_RS00295,SP_0050,0,NA,FALSE
49,54740,56002,purD,SP_RS00300,SP_0051,0,NA,FALSE
50,56405,56893,purE,SP_RS00305,SP_0053,0,NA,FALSE
51,56880,57971,purK,SP_RS00310,SP_0054,0,NA,FALSE
52,57981,58208,SP_0055,SP_RS00315,SP_0055,0,NA,FALSE
54,59624,63562,strH,SP_RS00325,SP_0057,0,NA,FALSE
55,63890,64606,SP_0058,SP_RS00330,SP_0058,0,NA,FALSE
57,66739,67215,SP_0061,SP_RS00340,SP_0061,0,NA,FALSE
58,67243,68148,SP_0062,SP_RS00345,SP_0062,0,NA,FALSE
59,68135,68950,SP_0063,SP_RS00350,SP_0063,0,NA,FALSE
61,69660,70826,SP_0065,SP_RS00360,SP_0065,0,NA,FALSE
62,70942,71979,SP_0066,SP_RS00365,SP_0066,0,NA,FALSE
63,73761,79331,zmpC,SP_RS00380,SP_0071,0,NA,FALSE
65,80647,81204,SP_0074,SP_RS00390,SP_0074,0,NA,FALSE
66,81421,82185,SP_0075,SP_RS00395,SP_0075,0,NA,FALSE
67,82798,84177,SP_0078,SP_RS00405,SP_0078,0,NA,FALSE
69,85166,85705,SP_RS00415,SP_RS00415,SP_RS00415,0,NA,FALSE
71,86298,88871,SP_0082,SP_RS00425,SP_0082,0,NA,FALSE
73,89733,90785,SP_0084,SP_RS00435,SP_0084,0,NA,FALSE
74,90980,91591,rpsD,SP_RS00440,SP_0085,0,NA,FALSE
75,92245,92505,SP_0088,SP_RS00450,SP_0088,0,NA,FALSE
76,92459,92680,SP_RS00455,SP_RS00455,SP_RS00455,0,NA,FALSE
77,92999,93928,SP_0090,SP_RS00460,SP_0090,0,NA,FALSE
78,93942,94865,SP_0091,SP_RS00465,SP_0091,0,NA,FALSE
80,95123,96598,SP_0092,SP_RS00475,SP_0092,0,NA,FALSE
81,96870,97856,SP_0095,SP_RS00480,SP_0095,0,NA,FALSE
83,99169,100233,SP_0097,SP_RS00490,SP_0097,0,NA,FALSE
84,100296,101207,SP_0098,SP_RS00495,SP_0098,0,NA,FALSE
85,101200,101793,SP_0099,SP_RS00500,SP_0099,0,NA,FALSE
86,101780,102106,SP_0100,SP_RS00505,SP_0100,0,NA,FALSE
87,102245,103411,SP_0101,SP_RS00510,SP_0101,0,NA,FALSE
88,103469,104626,SP_0102,SP_RS00515,SP_0102,0,NA,FALSE
89,104668,106518,SP_0103,SP_RS00520,SP_0103,0,NA,FALSE
90,106604,106906,SP_RS00525,SP_RS00525,SP_RS00525,0,NA,FALSE
91,106956,107588,SP_0104,SP_RS00530,SP_0104,0,NA,FALSE
92,107610,108482,sdaAA,SP_RS00535,SP_0105,0,NA,FALSE
93,108491,109162,sdaAB,SP_RS00540,SP_0106,0,NA,FALSE
94,109404,109991,SP_0107,SP_RS00545,SP_0107,0,NA,FALSE
95,110043,110363,SP_0108,SP_RS00550,SP_0108,0,NA,FALSE
96,110794,111081,SP_0109,SP_RS00555,SP_0109,0,NA,FALSE
98,113238,113879,SP_0111,SP_RS00565,SP_0111,0,NA,FALSE
99,114086,114892,SP_0112,SP_RS00570,SP_0112,0,NA,FALSE
100,114858,115328,SP_0113,SP_RS00575,SP_0113,0,NA,FALSE
101,115515,115835,SP_0114,SP_RS00580,SP_0114,0,NA,FALSE
102,116593,116973,SP_0115,SP_RS00585,SP_0115,0,NA,FALSE
103,117631,117870,SP_0116,SP_RS00590,SP_0116,0,NA,FALSE
104,117889,118134,SP_RS12590,SP_RS12590,SP_RS12590,0,NA,FALSE
106,121058,122179,mnmA,SP_RS00600,SP_0118,0,NA,FALSE
107,122320,122775,SP_0119,SP_RS00605,SP_0119,0,NA,FALSE
108,122785,124698,mnmG,SP_RS00610,SP_0120,0,NA,FALSE
109,125051,126730,SP_0121,SP_RS00620,SP_0121,0,NA,FALSE
110,126732,126965,SP_0122,SP_RS00625,SP_0122,0,NA,FALSE
111,127245,127460,SP_RS00630,SP_RS00630,SP_RS00630,0,NA,FALSE
112,127783,127935,cibB,SP_RS00635,SP_0124,0,NA,FALSE
113,127937,128122,cibA,SP_RS00640,SP_0125,0,NA,FALSE
114,128300,128983,tsaB,SP_RS00645,SP_0127,0,NA,FALSE
115,128980,129417,rimI,SP_RS00650,SP_0128,0,NA,FALSE
116,129407,130417,tsaD,SP_RS00655,SP_0129,0,NA,FALSE
117,134231,135106,SP_0136,SP_RS00695,SP_0136,0,NA,FALSE
118,135193,136809,SP_0137,SP_RS00700,SP_0137,0,NA,FALSE
119,137070,137498,SP_0138,SP_RS00710,SP_0138,0,NA,FALSE
120,137510,138259,SP_0139,SP_RS00715,SP_0139,0,NA,FALSE
122,140988,141221,SP_0142,SP_RS00730,SP_0142,0,NA,FALSE
123,141243,141920,SP_0143,SP_RS00735,SP_0143,0,NA,FALSE
124,141932,142597,SP_0144,SP_RS00740,SP_0144,0,NA,FALSE
125,142669,143895,SP_0145,SP_RS00745,SP_0145,0,NA,FALSE
126,144440,145096,SP_0146,SP_RS00755,SP_0146,0,NA,FALSE
127,145086,145295,SP_0147,SP_RS00760,SP_0147,0,NA,FALSE
128,145513,146343,SP_0148,SP_RS00765,SP_0148,0,NA,FALSE
129,146497,147351,SP_0149,SP_RS00770,SP_0149,0,NA,FALSE
130,147451,148824,SP_0150,SP_RS00775,SP_0150,0,NA,FALSE
131,148817,149878,SP_0151,SP_RS00780,SP_0151,0,NA,FALSE
132,149880,150572,SP_0152,SP_RS00785,SP_0152,0,NA,FALSE
133,150602,151171,SP_0153,SP_RS00790,SP_0153,0,NA,FALSE
134,151306,151920,SP_0154,SP_RS00795,SP_0154,0,NA,FALSE
136,153580,154866,SP_0156,SP_RS00805,SP_0156,0,NA,FALSE
137,154918,155451,SP_0157,SP_RS00810,SP_0157,0,NA,FALSE
138,155529,155999,nrdI,SP_RS00815,SP_0158,0,NA,FALSE
139,156292,157554,SP_0159,SP_RS00820,SP_0159,0,NA,FALSE
140,157864,158322,SP_0160,SP_RS00825,SP_0160,0,NA,FALSE
141,158319,158759,SP_0161,SP_RS00830,SP_0161,0,NA,FALSE
142,159192,160058,SP_0163,SP_RS00835,SP_0163,0,NA,FALSE
143,160384,160941,SP_0165,SP_RS00840,SP_0165,0,NA,FALSE
144,161162,162268,SP_0166,SP_RS00845,SP_0166,0,NA,FALSE
145,162244,163635,SP_0167,SP_RS00850,SP_0167,0,NA,FALSE
146,163632,164810,SP_0168,SP_RS00855,SP_0168,0,NA,FALSE
147,165235,165468,SP_0171,SP_RS00860,SP_0171,0,NA,FALSE
149,168025,168492,SP_0175,SP_RS00870,SP_0175,0,NA,FALSE
150,168493,169698,SP_0176,SP_RS00875,SP_0176,0,NA,FALSE
151,169718,170353,ribE,SP_RS00880,SP_0177,0,NA,FALSE
152,170338,171438,ribD,SP_RS00885,SP_0178,0,NA,FALSE
153,171843,172436,ruvA,SP_RS00890,SP_0179,0,NA,FALSE
154,172446,173009,SP_0180,SP_RS00895,SP_0180,0,NA,FALSE
155,173006,173683,SP_0181,SP_RS00900,SP_0181,0,NA,FALSE
156,173820,174851,SP_0182,SP_RS00905,SP_0182,0,NA,FALSE
157,175106,175789,SP_0184,SP_RS00910,SP_0184,0,NA,FALSE
158,175801,176745,SP_0185,SP_RS00915,SP_0185,0,NA,FALSE
159,176877,179708,uvrA,SP_RS00920,SP_0186,0,NA,FALSE
160,179701,180762,SP_0187,SP_RS00925,SP_0187,0,NA,FALSE
161,180894,181292,spx,SP_RS00930,SP_0189,0,NA,FALSE
162,181358,181927,SP_0191,SP_RS00935,SP_0191,0,NA,FALSE
163,182014,182280,SP_0192,SP_RS00940,SP_0192,0,NA,FALSE
164,182284,182703,ruvX,SP_RS00945,SP_0193,0,NA,FALSE
165,182719,183024,SP_0194,SP_RS00950,SP_0194,0,NA,FALSE
166,183283,184533,SP_0197,SP_RS00955,SP_0197,0,NA,FALSE
167,184530,185075,SP_0198,SP_RS00960,SP_0198,0,NA,FALSE
169,186831,186974,SP_RS12970,SP_RS12970,SP_RS12970,0,NA,FALSE
170,188670,190877,nrdD,SP_RS00980,SP_0202,0,NA,FALSE
171,190889,191029,SP_0203,SP_RS12975,SP_0203,0,NA,FALSE
173,191572,192162,nrdG,SP_RS00995,SP_0205,0,NA,FALSE
174,193042,193350,rpsJ,SP_RS01005,SP_0208,0,NA,FALSE
175,193567,194193,rplC,SP_RS01010,SP_0209,0,NA,FALSE
176,194218,194841,rplD,SP_RS01015,SP_0210,0,NA,FALSE
177,194841,195137,SP_0211,SP_RS01020,SP_0211,0,NA,FALSE
179,196092,196373,rpsS,SP_RS01030,SP_0213,0,NA,FALSE
180,196385,196729,rplV,SP_RS01035,SP_0214,0,NA,FALSE
181,196742,197395,rpsC,SP_RS01040,SP_0215,0,NA,FALSE
182,197399,197812,rplP,SP_RS01045,SP_0216,0,NA,FALSE
183,197822,198028,SP_0217,SP_RS01050,SP_0217,0,NA,FALSE
184,198053,198313,rpsQ,SP_RS01055,SP_0218,0,NA,FALSE
185,198339,198707,rplN,SP_RS01060,SP_0219,0,NA,FALSE
186,198785,199090,rplX,SP_RS01065,SP_0220,0,NA,FALSE
187,199114,199656,rplE,SP_RS01070,SP_0221,0,NA,FALSE
188,199674,199943,rpsN,SP_RS01075,SP_0222,0,NA,FALSE
189,200228,200626,rpsH,SP_RS01080,SP_0224,0,NA,FALSE
190,200818,201354,rplF,SP_RS01085,SP_0225,0,NA,FALSE
191,201438,201794,rplR,SP_RS01090,SP_0226,0,NA,FALSE
192,201812,202306,rpsE,SP_RS01095,SP_0227,0,NA,FALSE
193,202320,202502,rpmD,SP_RS01100,SP_0228,0,NA,FALSE
194,202647,203087,rplO,SP_RS01105,SP_0229,0,NA,FALSE
195,203100,204410,secY,SP_RS01110,SP_0230,0,NA,FALSE
196,204561,205199,SP_0231,SP_RS01115,SP_0231,0,NA,FALSE
198,205559,205675,rpmJ,SP_RS01125,SP_0233,0,NA,FALSE
199,205693,206058,rpsM,SP_RS01130,SP_0234,0,NA,FALSE
200,206076,206459,rpsK,SP_RS01135,SP_0235,0,NA,FALSE
201,206502,207437,SP_0236,SP_RS01140,SP_0236,0,NA,FALSE
202,207449,207835,rplQ,SP_RS01145,SP_0237,0,NA,FALSE
203,208100,208366,SP_0238,SP_RS01150,SP_0238,0,NA,FALSE
204,208376,209713,SP_0239,SP_RS01155,SP_0239,0,NA,FALSE
205,209957,210649,SP_0240,SP_RS01160,SP_0240,0,NA,FALSE
206,212387,213478,SP_0242,SP_RS01180,SP_0242,0,NA,FALSE
207,213491,214507,SP_0243,SP_RS01185,SP_0243,0,NA,FALSE
208,215094,215870,SP_0245,SP_RS01190,SP_0245,0,NA,FALSE
210,216751,217731,SP_0247,SP_RS01200,SP_0247,0,NA,FALSE
211,217926,218246,SP_0248,SP_RS01205,SP_0248,0,NA,FALSE
212,218292,218600,SP_0249,SP_RS01210,SP_0249,0,NA,FALSE
213,218617,219915,SP_0250,SP_RS01215,SP_0250,0,NA,FALSE
214,220066,222504,SP_0251,SP_RS01220,SP_0251,0,NA,FALSE
215,222523,223191,SP_0252,SP_RS01225,SP_0252,0,NA,FALSE
216,223209,224297,SP_0253,SP_RS01230,SP_0253,0,NA,FALSE
218,227448,228143,SP_0255,SP_RS01240,SP_0255,0,NA,FALSE
220,231373,231465,SP_0258,SP_RS01265,SP_0258,0,NA,FALSE
221,231627,232598,ruvB,SP_RS01270,SP_0259,0,NA,FALSE
222,232579,233151,SP_0260,SP_RS01275,SP_0260,0,NA,FALSE
223,233382,234140,SP_0261,SP_RS01280,SP_0261,0,NA,FALSE
224,234149,234952,SP_0262,SP_RS01285,SP_0262,0,NA,FALSE
225,234974,236233,rseP,SP_RS01290,SP_0263,0,NA,FALSE
226,236246,238099,SP_0264,SP_RS01295,SP_0264,0,NA,FALSE
227,238198,239577,bglA,SP_RS01300,SP_0265,0,NA,FALSE
228,239770,241578,glmS,SP_RS01305,SP_0266,0,NA,FALSE
229,241697,242746,SP_0267,SP_RS01310,SP_0267,0,NA,FALSE
230,242846,246688,spuA,SP_RS01315,SP_0268,0,NA,FALSE
231,247105,247518,rpsL,SP_RS01320,SP_0271,0,NA,FALSE
233,248433,250514,fusA,SP_RS01330,SP_0273,0,NA,FALSE
234,250618,255009,SP_0274,SP_RS01335,SP_0274,0,NA,FALSE
235,255111,255374,SP_0275,SP_RS01340,SP_0275,0,NA,FALSE
236,255367,255645,SP_0276,SP_RS01345,SP_0276,0,NA,FALSE
237,255666,255818,SP_0277,SP_RS12980,SP_0277,0,NA,FALSE
238,255840,257081,SP_0278,SP_RS01355,SP_0278,0,NA,FALSE
239,257091,257321,SP_0279,SP_RS01360,SP_0279,0,NA,FALSE
240,257589,258311,SP_0280,SP_RS01370,SP_0280,0,NA,FALSE
241,258529,259863,pepC,SP_RS01380,SP_0281,0,NA,FALSE
242,259919,260830,SP_0282,SP_RS01385,SP_0282,0,NA,FALSE
246,264266,265078,SP_0286,SP_RS01405,SP_0286,0,NA,FALSE
247,265268,266686,SP_0287,SP_RS01410,SP_0287,0,NA,FALSE
248,266739,267446,SP_0288,SP_RS01415,SP_0288,0,NA,FALSE
249,267541,268515,folP,SP_RS01420,SP_0289,0,NA,FALSE
250,268517,269839,SP_0290,SP_RS01425,SP_0290,0,NA,FALSE
251,269820,270374,folE,SP_RS01430,SP_0291,0,NA,FALSE
252,270417,271229,folK,SP_RS01435,SP_0292,0,NA,FALSE
253,271379,271696,SP_0293,SP_RS01440,SP_0293,0,NA,FALSE
254,272052,272498,rplM,SP_RS01445,SP_0294,0,NA,FALSE
255,272517,272909,rpsI,SP_RS01450,SP_0295,0,NA,FALSE
256,273953,275161,SP_0298,SP_RS01455,SP_0298,0,NA,FALSE
257,276310,276648,SP_0302,SP_RS01475,SP_0302,0,NA,FALSE
259,278326,278565,SP_0304,SP_RS01485,SP_0304,0,NA,FALSE
260,278695,279009,SP_0305,SP_RS01490,SP_0305,0,NA,FALSE
261,281116,281430,SP_0308,SP_RS01500,SP_0308,0,NA,FALSE
262,281461,281967,SP_0309,SP_RS01505,SP_0309,0,NA,FALSE
263,282047,283393,celB,SP_RS01510,SP_0310,0,NA,FALSE
264,283772,283948,SP_0311,SP_RS12985,SP_0311,0,NA,FALSE
265,284349,286562,SP_0312,SP_RS01520,SP_0312,0,NA,FALSE
266,286784,287260,SP_0313,SP_RS01525,SP_0313,0,NA,FALSE
268,291831,292460,SP_0317,SP_RS01540,SP_0317,0,NA,FALSE
269,292470,293471,SP_0318,SP_RS01545,SP_0318,0,NA,FALSE
270,293502,294143,SP_0319,SP_RS01550,SP_0319,0,NA,FALSE
271,294162,294977,SP_0320,SP_RS01555,SP_0320,0,NA,FALSE
272,295248,295682,SP_0321,SP_RS01560,SP_0321,0,NA,FALSE
273,295694,296884,SP_0322,SP_RS01565,SP_0322,0,NA,FALSE
274,296895,297386,SP_0323,SP_RS01570,SP_0323,0,NA,FALSE
275,297401,298180,SP_0324,SP_RS01575,SP_0324,0,NA,FALSE
276,298167,298985,SP_0325,SP_RS01580,SP_0325,0,NA,FALSE
277,298985,299278,SP_0326,SP_RS01585,SP_0326,0,NA,FALSE
278,301056,302402,SP_0328,SP_RS01595,SP_0328,0,NA,FALSE
279,302969,303970,SP_0330,SP_RS01605,SP_0330,0,NA,FALSE
280,304080,304415,SP_2241,SP_RS01610,SP_2241,0,NA,FALSE
281,304426,304668,SP_0331,SP_RS01615,SP_0331,0,NA,FALSE
283,305237,305431,SP_0333,SP_RS01625,SP_0333,0,NA,FALSE
284,305597,306547,rsmH,SP_RS01630,SP_0334,0,NA,FALSE
285,306559,306876,ftsL,SP_RS01635,SP_0335,0,NA,FALSE
287,309134,310114,SP_0337,SP_RS01645,SP_0337,0,NA,FALSE
288,310254,310442,SP_RS11680,SP_RS11680,SP_RS11680,0,NA,FALSE
290,313124,313606,SP_0340,SP_RS01655,SP_0340,0,NA,FALSE
292,315338,316945,SP_0342,SP_RS01665,SP_0342,0,NA,FALSE
293,317355,318701,SP_0343,SP_RS01675,SP_0343,0,NA,FALSE
294,318857,318985,SP_RS11685,SP_RS11685,SP_RS11685,0,NA,FALSE
295,320077,321522,cps4A,SP_RS01690,SP_0346,0,NA,FALSE
296,321524,322255,cps4B,SP_RS01695,SP_0347,0,NA,FALSE
299,323990,324625,cps4E,SP_RS01710,SP_0350,0,NA,FALSE
300,324634,325863,cps4F,SP_RS01715,SP_0351,0,NA,FALSE
301,325868,326944,cps4G,SP_RS01720,SP_0352,0,NA,FALSE
302,326937,328055,cps4H,SP_RS01725,SP_0353,0,NA,FALSE
303,328056,329456,wzy,SP_RS01730,SP_0354,0,NA,FALSE
304,329471,330538,SP_0355,SP_RS01735,SP_0355,0,NA,FALSE
305,330528,331769,SP_0356,SP_RS01740,SP_0356,0,NA,FALSE
306,331774,332871,cps4I,SP_RS01745,SP_0357,0,NA,FALSE
307,332875,333930,cps4J,SP_RS01750,SP_0358,0,NA,FALSE
308,334030,335259,cps4K,SP_RS01755,SP_0359,0,NA,FALSE
309,335260,336444,cps4L,SP_RS01760,SP_0360,0,NA,FALSE
310,337687,337914,SP_RS01770,SP_RS01770,SP_RS01770,0,NA,FALSE
312,338709,338894,SP_0365,SP_RS01785,SP_0365,0,NA,FALSE
313,339099,341081,SP_0366,SP_RS01790,SP_0366,0,NA,FALSE
316,349009,349605,recU,SP_RS01805,SP_0370,0,NA,FALSE
317,349671,350198,SP_0371,SP_RS01810,SP_0371,0,NA,FALSE
318,350268,350597,gpsB,SP_RS01815,SP_0372,0,NA,FALSE
319,350618,350998,rnpB,SP_RS11705,SP_RS11705,0,NA,FALSE
320,351083,352240,SP_0373,SP_RS01825,SP_0373,0,NA,FALSE
322,353723,355147,gndA,SP_RS01835,SP_0375,0,NA,FALSE
326,358103,359335,SP_0379,SP_RS01855,SP_0379,0,NA,FALSE
328,360865,361143,SP_RS13095,SP_RS13095,SP_RS13095,0,NA,FALSE
329,361318,362196,mvk,SP_RS01870,SP_0381,0,NA,FALSE
330,362178,363131,mvaD,SP_RS01875,SP_0382,0,NA,FALSE
332,364109,365119,fni,SP_RS01885,SP_0384,0,NA,FALSE
333,365196,365894,SP_0385,SP_RS01890,SP_0385,0,NA,FALSE
334,365891,366886,SP_0386,SP_RS01895,SP_0386,0,NA,FALSE
335,366900,367532,SP_0387,SP_RS01900,SP_0387,0,NA,FALSE
336,367771,368010,SP_RS01910,SP_RS01910,SP_RS01910,0,NA,FALSE
337,368451,368690,SP_0389,SP_RS01920,SP_0389,0,NA,FALSE
338,368771,369592,cbpG,SP_RS01925,SP_0390,0,NA,FALSE
340,372310,374079,SP_0394,SP_RS01955,SP_0394,0,NA,FALSE
341,374103,376058,SP_0395,SP_RS01960,SP_0395,0,NA,FALSE
342,376060,376497,SP_0396,SP_RS01965,SP_0396,0,NA,FALSE
344,378481,379764,SP_0400,SP_RS01985,SP_0400,0,NA,FALSE
345,379812,382178,SP_0401,SP_RS01990,SP_0401,0,NA,FALSE
346,382457,383071,lepB,SP_RS01995,SP_0402,0,NA,FALSE
347,383075,383956,SP_0403,SP_RS02000,SP_0403,0,NA,FALSE
349,384342,384890,SP_0405,SP_RS02010,SP_0405,0,NA,FALSE
350,384994,387330,SP_0406,SP_RS02015,SP_0406,0,NA,FALSE
351,387673,388995,SP_0408,SP_RS02020,SP_0408,0,NA,FALSE
352,389213,389761,SP_0409,SP_RS02025,SP_0409,0,NA,FALSE
353,389871,390770,SP_0410,SP_RS02030,SP_0410,0,NA,FALSE
354,390795,392069,serS,SP_RS02035,SP_0411,0,NA,FALSE
355,392282,392653,SP_0412,SP_RS02040,SP_0412,0,NA,FALSE
356,392656,394020,SP_0413,SP_RS02045,SP_0413,0,NA,FALSE
357,394345,395130,SP_0415,SP_RS02050,SP_0415,0,NA,FALSE
358,395224,395658,SP_0416,SP_RS02055,SP_0416,0,NA,FALSE
359,395658,396632,SP_0417,SP_RS02060,SP_0417,0,NA,FALSE
360,396692,396916,SP_0418,SP_RS02065,SP_0418,0,NA,FALSE
361,397035,398009,fabK,SP_RS02070,SP_0419,0,NA,FALSE
362,398002,398922,fabD,SP_RS02075,SP_0420,0,NA,FALSE
363,398956,399687,fabG,SP_RS02080,SP_0421,0,NA,FALSE
364,399709,400944,fabF,SP_RS02085,SP_0422,0,NA,FALSE
366,401429,401851,fabZ,SP_RS02095,SP_0424,0,NA,FALSE
368,403267,404133,SP_0426,SP_RS02105,SP_0426,0,NA,FALSE
369,404130,404897,SP_0427,SP_RS02110,SP_0427,0,NA,FALSE
370,405056,405241,briC,SP_RS02115,SP_0429,0,NA,FALSE
371,405259,405732,SP_0430,SP_RS02120,SP_0430,0,NA,FALSE
372,405745,405981,SP_0431,SP_RS11730,SP_0431,0,NA,FALSE
373,407504,407926,nusB,SP_RS02135,SP_0433,0,NA,FALSE
374,407919,408308,SP_0434,SP_RS02140,SP_0434,0,NA,FALSE
376,409019,410461,gatB,SP_RS02150,SP_0436,0,NA,FALSE
377,410461,411927,gatA,SP_RS02155,SP_0437,0,NA,FALSE
379,412442,413986,SP_0439,SP_RS02165,SP_0439,0,NA,FALSE
380,414269,414466,SP_RS11740,SP_RS11740,SP_RS11740,0,NA,FALSE
381,414577,414753,SP_RS11745,SP_RS11745,SP_RS11745,0,NA,FALSE
382,414869,415057,SP_0441,SP_RS02175,SP_0441,0,NA,FALSE
383,415214,415579,SP_0442,SP_RS02180,SP_0442,0,NA,FALSE
386,419142,419618,ilvN,SP_RS02195,SP_0446,0,NA,FALSE
387,419684,420706,ilvC,SP_RS02200,SP_0447,0,NA,FALSE
388,420813,421049,SP_0448,SP_RS02205,SP_0448,0,NA,FALSE
389,421287,421643,SP_0449,SP_RS02210,SP_0449,0,NA,FALSE
390,421693,422943,ilvA,SP_RS02215,SP_0450,0,NA,FALSE
391,423678,423893,SP_0451,SP_RS02220,SP_0451,0,NA,FALSE
392,424002,424742,SP_0452,SP_RS02225,SP_0452,0,NA,FALSE
393,424742,426307,SP_0453,SP_RS02230,SP_0453,0,NA,FALSE
395,429739,429876,SP_RS12990,SP_RS12990,SP_RS12990,0,NA,FALSE
396,429907,430752,SP_0457,SP_RS02255,SP_0457,0,NA,FALSE
397,430899,431960,dinB,SP_RS02260,SP_0458,0,NA,FALSE
398,432308,434632,pflB,SP_RS02265,SP_0459,0,NA,FALSE
399,434770,436038,SP_0460,SP_RS02270,SP_0460,0,NA,FALSE
400,436303,437832,rlrA,SP_RS02275,SP_0461,0,NA,FALSE
401,438348,441008,rrgA,SP_RS02280,SP_0462,0,NA,FALSE
402,441232,443229,rrgB,SP_RS02285,SP_0463,0,NA,FALSE
403,443276,444457,rrgC,SP_RS02290,SP_0464,0,NA,FALSE
404,444795,445697,srtC-1,SP_RS02295,SP_0466,0,NA,FALSE
405,445684,446577,srtC-2,SP_RS02300,SP_0467,0,NA,FALSE
406,446564,447415,srtC-3,SP_RS02305,SP_0468,0,NA,FALSE
407,448879,449019,SP_0470,SP_RS12665,SP_0470,0,NA,FALSE
408,449021,449305,SP_0471,SP_RS02320,SP_0471,0,NA,FALSE
409,450739,451962,SP_0473,SP_RS02335,SP_0473,0,NA,FALSE
410,452130,453452,SP_0474,SP_RS02340,SP_0474,0,NA,FALSE
411,453454,455340,SP_0475,SP_RS02345,SP_0475,0,NA,FALSE
412,455508,455852,SP_0476,SP_RS02350,SP_0476,0,NA,FALSE
414,457343,459022,SP_0478,SP_RS02360,SP_0478,0,NA,FALSE
417,462128,462976,SP_0481,SP_RS02375,SP_0481,0,NA,FALSE
418,462991,463539,SP_0482,SP_RS02380,SP_0482,0,NA,FALSE
419,463546,463803,SP_RS02385,SP_RS02385,SP_RS02385,0,NA,FALSE
420,463905,465587,SP_0483,SP_RS02390,SP_0483,0,NA,FALSE
421,465572,466402,SP_0484,SP_RS02395,SP_0484,0,NA,FALSE
422,466595,467098,SP_0486,SP_RS02400,SP_0486,0,NA,FALSE
423,467551,468114,SP_0488,SP_RS02405,SP_0488,0,NA,FALSE
424,468128,468754,SP_0489,SP_RS02410,SP_0489,0,NA,FALSE
425,468782,469171,SP_0490,SP_RS02415,SP_0490,0,NA,FALSE
426,469754,470341,SP_0493,SP_RS02425,SP_0493,0,NA,FALSE
427,470731,472338,SP_0494,SP_RS02435,SP_0494,0,NA,FALSE
428,472994,474340,SP_0495,SP_RS02440,SP_0495,0,NA,FALSE
430,476529,481508,SP_0498,SP_RS02450,SP_0498,0,NA,FALSE
432,482930,483457,SP_0500,SP_RS02460,SP_0500,0,NA,FALSE
433,483534,483890,glnR,SP_RS02465,SP_0501,0,NA,FALSE
434,483927,485273,glnA,SP_RS02470,SP_0502,0,NA,FALSE
435,485369,485488,SP_0503,SP_RS11790,SP_0503,0,NA,FALSE
436,485746,485883,SP_0504,SP_RS12995,SP_0504,0,NA,FALSE
437,486054,487334,SP_0505,SP_RS02480,SP_0505,0,NA,FALSE
439,488199,488798,SP_0507,SP_RS02490,SP_0507,0,NA,FALSE
440,488752,490320,SP_0508,SP_RS02495,SP_0508,0,NA,FALSE
441,490320,491783,SP_0509,SP_RS02500,SP_0509,0,NA,FALSE
442,491796,494129,SP_0510,SP_RS02505,SP_0510,0,NA,FALSE
